d [mm],Q [litres/s],T [C],h1 [m],h2 [m],V_avg [m/s],v [m^2/s],Re_D,f_e,f_c,h_e [m],h_c [m]
17.2,0.6483662109375,25.5,4.0528564453125,4.49560546875,2.7904458465242192,8.956e-07,53590.51871395329,0.019188360295394485,0.02039400174225237,0.4427490234375,0.47056779299334484
17.2,0.6483662109375,25.5,4.0528564453125,4.49560546875,2.7904458465242192,8.956e-07,53590.51871395329,0.019188360295394485,0.02039400174225237,0.4427490234375,0.47056779299334484
17.2,0.6483662109375,25.5,4.0528564453125,4.49560546875,2.7904458465242192,8.956e-07,53590.51871395329,0.019188360295394485,0.02039400174225237,0.4427490234375,0.47056779299334484
17.2,0.6483662109375,25.5,4.064208984375,4.518310546875,2.7904458465242192,8.956e-07,53590.51871395329,0.019680369533737935,0.02039400174225237,0.4541015625,0.47056779299334484
17.2,0.5604521484375,25.5,3.13330078125,3.451171875,2.412080308012461,8.956e-07,46324.00770189184,0.01843719970890396,0.02107404082388749,0.31787109375,0.3633322040323819
17.2,0.5604521484375,25.5,3.13330078125,3.451171875,2.412080308012461,8.956e-07,46324.00770189184,0.01843719970890396,0.02107404082388749,0.31787109375,0.3633322040323819
17.2,0.5604521484375,25.5,3.1219482421875,3.4398193359375,2.412080308012461,8.956e-07,46324.00770189184,0.01843719970890396,0.02107404082388749,0.31787109375,0.3633322040323819
17.2,0.5604521484375,25.5,3.1219482421875,3.4398193359375,2.412080308012461,8.956e-07,46324.00770189184,0.01843719970890396,0.02107404082388749,0.31787109375,0.3633322040323819
17.2,0.549462890625,25.5,3.1219482421875,3.4398193359375,2.3647846156984906,8.956e-07,45415.69382538414,0.01918206257714369,0.021169078811812007,0.31787109375,0.3507984716726235
17.2,0.4505595703125,25.5,2.1796875,2.384033203125,1.9391233848727623,8.956e-07,37240.86893681499,0.01833927118151326,0.022158072967434276,0.204345703125,0.24689677989983205
17.2,0.4505595703125,25.5,2.1683349609375,2.3726806640625,1.9391233848727623,8.956e-07,37240.86893681499,0.01833927118151326,0.022158072967434276,0.204345703125,0.24689677989983205
17.2,0.4505595703125,25.5,2.1683349609375,2.3726806640625,1.9391233848727623,8.956e-07,37240.86893681499,0.01833927118151326,0.022158072967434276,0.204345703125,0.24689677989983205
17.2,0.4505595703125,25.5,2.1796875,2.3726806640625,1.9391233848727623,8.956e-07,37240.86893681499,0.0173204227825403,0.022158072967434276,0.1929931640625,0.24689677989983205
17.2,0.4505595703125,25.5,2.1796875,2.3726806640625,1.9391233848727623,8.956e-07,37240.86893681499,0.0173204227825403,0.022158072967434276,0.1929931640625,0.24689677989983205
17.2,0.35165625,25.5,1.4644775390625,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245854,0.020070517484455593,0.023493620760538517,0.13623046875,0.15946509457574695
17.2,0.35165625,25.5,1.4644775390625,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245854,0.020070517484455593,0.023493620760538517,0.13623046875,0.15946509457574695
17.2,0.35165625,25.5,1.4871826171875,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245854,0.016725431237046326,0.023493620760538517,0.113525390625,0.15946509457574695
17.2,0.35165625,25.5,1.4871826171875,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245854,0.016725431237046326,0.023493620760538517,0.113525390625,0.15946509457574695
17.2,0.35165625,25.5,1.4871826171875,1.6007080078125,1.513462154047034,8.956e-07,29066.044048245854,0.016725431237046326,0.023493620760538517,0.113525390625,0.15946509457574695
17.2,0.2637421875,25.5,0.95361328125,1.021728515625,1.1350966155352757,8.956e-07,21799.53303618439,0.017840459986182743,0.025201050559130186,0.068115234375,0.09621811694658368
17.2,0.2637421875,25.5,0.9876708984375,1.04443359375,1.1350966155352757,8.956e-07,21799.53303618439,0.014867049988485618,0.025201050559130186,0.0567626953125,0.09621811694658368
17.2,0.2637421875,25.5,0.9876708984375,1.04443359375,1.1350966155352757,8.956e-07,21799.53303618439,0.014867049988485618,0.025201050559130186,0.0567626953125,0.09621811694658368
17.2,0.2637421875,25.5,0.976318359375,1.04443359375,1.1350966155352757,8.956e-07,21799.53303618439,0.017840459986182743,0.025201050559130186,0.068115234375,0.09621811694658368
17.2,0.2637421875,25.5,0.976318359375,1.04443359375,1.1350966155352757,8.956e-07,21799.53303618439,0.017840459986182743,0.025201050559130186,0.068115234375,0.09621811694658368
15.2,0.74726953125,25.5,6.720703125,11.5909423828125,4.118131569265964,8.956e-07,69892.36249759118,0.08564311455088586,0.09751148691702284,4.8702392578125,5.54515414533161
15.2,0.74726953125,25.5,6.6185302734375,11.57958984375,4.118131569265964,8.956e-07,69892.36249759118,0.08724018894810517,0.09751148691702284,4.9610595703125,5.54515414533161
15.2,0.74726953125,25.5,6.6185302734375,11.57958984375,4.118131569265964,8.956e-07,69892.36249759118,0.08724018894810517,0.09751148691702284,4.9610595703125,5.54515414533161
15.2,0.74726953125,25.5,6.58447265625,11.5228271484375,4.118131569265964,8.956e-07,69892.36249759118,0.08684092034880037,0.09751148691702284,4.9383544921875,5.54515414533161
15.2,0.7362802734375,25.5,6.58447265625,11.5228271484375,4.057570810894406,8.956e-07,68864.53363733248,0.08945253189860833,0.09751570491928564,4.9383544921875,5.383493448713407
15.2,0.6483662109375,25.5,5.1654052734375,9.0933837890625,3.5730847439219398,8.956e-07,60641.90275526293,0.09175401164926647,0.09755459161956441,3.927978515625,4.176300666253028
15.2,0.6483662109375,25.5,5.22216796875,9.059326171875,3.5730847439219398,8.956e-07,60641.90275526293,0.08963253161113317,0.09755459161956441,3.837158203125,4.176300666253028
15.2,0.6593554687500001,25.5,5.2335205078125,9.03662109375,3.6336455022934984,8.956e-07,61669.731615521625,0.08590042098154893,0.0975491641944244,3.8031005859375,4.318829631640756
15.2,0.6593554687500001,25.5,5.2335205078125,9.03662109375,3.6336455022934984,8.956e-07,61669.731615521625,0.08590042098154893,0.0975491641944244,3.8031005859375,4.318829631640756
15.2,0.6483662109375,25.5,5.2335205078125,9.03662109375,3.5730847439219398,8.956e-07,60641.90275526293,0.08883697659683315,0.09755459161956441,3.8031005859375,4.176300666253028
15.2,0.5604521484375,25.5,3.8712158203125,6.67529296875,3.0885986769494735,8.956e-07,52419.27187319338,0.08766163913626025,0.0976056651685499,2.8040771484375,3.1221617340710033
15.2,0.5604521484375,25.5,3.9052734375,6.652587890625,3.0885986769494735,8.956e-07,52419.27187319338,0.0858871120282388,0.0976056651685499,2.747314453125,3.1221617340710033
15.2,0.549462890625,25.5,3.9052734375,6.652587890625,3.028037918577915,8.956e-07,51391.44301293468,0.08935695135417966,0.09761319727889267,2.747314453125,3.001155966446252
15.2,0.549462890625,25.5,3.9052734375,6.6866455078125,3.028037918577915,8.956e-07,51391.44301293468,0.09046468215609098,0.09761319727889267,2.7813720703125,3.001155966446252
15.2,0.5604521484375,25.5,3.882568359375,6.697998046875,3.0885986769494735,8.956e-07,52419.27187319338,0.08801654455786455,0.0976056651685499,2.8154296875,3.1221617340710033
