d [mm],Q [m^3/s],T [C],V_avg [m/s],v [m^2/s],Re_D,h1 [m],h2 [m],h_K [m],K,L_eq [m]
17.2,0.00045000000000000004,25.5,1.9367150998202518,8.956e-07,37194.6178170035,2.129736328125,1.96171875,0.188017578125,0.983481013361662,0.7631972977096215
17.2,0.00035,25.5,1.5063339665268622,8.956e-07,28929.147191002714,1.466748046875,1.357763671875,0.12898437499999998,1.1153047923439952,0.8156063275806839
17.2,0.00025,25.5,1.0759528332334731,8.956e-07,20663.67656500194,0.9695068359375,0.8900390625,0.0994677734375,1.685756847845452,1.1353179500911907
17.2,0.00075,25.5,3.2278584997004187,9.000000000000001e-07,61687.96243871913,1.693798828125,1.17158203125,0.542216796875,1.0210405583419027,0.8883983521695772
17.2,0.0006500000000000001,25.5,2.7974773664070303,9.000000000000001e-07,53462.90078022324,1.0603271484375,0.6743408203125,0.405986328125,1.0178346906813371,0.8579698483070082
17.2,0.00055,25.5,2.367096233113641,9.000000000000001e-07,45237.83912172736,0.731103515625,0.4200439453125,0.3310595703125,1.1592399018939328,0.9410486540213571
17.2,0.00045000000000000004,25.5,1.9367150998202518,9.000000000000001e-07,37012.77746323148,0.3473876953125,0.131689453125,0.23569824218749996,1.2328886925668934,0.9556506327138587
17.2,0.00035,25.5,1.5063339665268622,9.000000000000001e-07,28787.715804735595,0.00908203125,-0.122607421875,0.15168945312499998,1.3116315369078797,0.9580504323039459
17.2,0.00025,25.5,1.0759528332334731,9.000000000000001e-07,20562.65414623971,-0.2792724609375,-0.3451171875,0.0858447265625,1.4548765962383237,0.9786260387923743
17.2,0.00075,25.5,3.2278584997004187,9.000000000000001e-07,61687.96243871913,6.90234375,3.028857421875,3.8934863281250003,7.331767435603412,6.379305949274088
17.2,0.0006500000000000001,25.5,2.7974773664070303,9.000000000000001e-07,53462.90078022324,5.644482421875,2.25234375,3.412138671875,8.554458288507714,7.210863755514724
17.2,0.00055,25.5,2.367096233113641,9.000000000000001e-07,45237.83912172736,3.8848388671875,1.575732421875,2.3291064453125,8.155611162716003,6.620568266203172
17.2,0.00045000000000000004,25.5,1.9367150998202518,9.000000000000001e-07,37012.77746323148,2.465771484375,0.89912109375,1.586650390625,8.299439603381776,6.433155528119109
17.2,0.00035,25.5,1.5063339665268622,9.000000000000001e-07,28787.715804735595,1.48037109375,0.4245849609375,1.0757861328125,9.302130040657985,6.794522284672558
17.2,0.00025,25.5,1.0759528332334731,9.000000000000001e-07,20562.65414623971,0.6470947265625,0.049951171875,0.6171435546875,10.459206408916327,7.035408888516407
17.2,0.00075,25.5,3.2278584997004187,9.000000000000001e-07,61687.96243871913,3.1718994140625,2.2046630859375,0.987236328125,1.8590503604714796,1.6175432634381977
17.2,0.0006500000000000001,25.5,2.7974773664070303,9.000000000000001e-07,53462.90078022324,2.3091064453125,1.5462158203125,0.7828906250000001,1.9627587973574538,1.6544807158270085
17.2,0.00055,25.5,2.367096233113641,9.000000000000001e-07,45237.83912172736,1.4871826171875,0.9331787109375,0.57400390625,2.009935043834798,1.631626606866191
17.2,0.00045000000000000004,25.5,1.9367150998202518,9.000000000000001e-07,37012.77746323148,0.9195556640625,0.4904296875,0.44912597656250003,2.3492849709141184,1.821004347282083
17.2,0.00035,25.5,1.5063339665268622,9.000000000000001e-07,28787.715804735595,0.395068359375,0.08173828125,0.33333007812500004,2.8822454934189574,2.105268486823575
17.2,0.00025,25.5,1.0759528332334731,9.000000000000001e-07,20562.65414623971,0.036328125,-0.1634765625,0.21980468749999998,3.725199070375085,2.505763594919374
7.7,0.00055,25.5,11.811127502181472,9.000000000000001e-07,101050.75751866371,20.28017578125,10.68955078125,9.610624999999999,1.3516614235217037,0.585164068362539
7.7,0.00045000000000000004,25.5,9.663649774512114,9.000000000000001e-07,82677.89251527032,17.451123046875,9.2568603515625,8.214262695312499,1.7257791849898712,0.716193671748346
7.7,0.00035,25.5,7.516172046842755,9.000000000000001e-07,64305.027511876906,11.6794921875,6.343798828125,5.355693359375,1.8600357062711033,0.7311489094112369
7.7,0.00025,25.5,5.368694319173397,9.000000000000001e-07,45932.16250848351,6.53016796875,3.676037109375,2.8741308593749997,1.9564474479494394,0.7134661300763303
7.7,0.00015,25.5,3.2212165915040374,9.000000000000001e-07,27559.2975050901,2.974365234375,1.68017578125,1.314189453125,2.4849469742032135,0.8040816973479293
7.7,0.00055,25.5,11.811127502181472,9.000000000000001e-07,101050.75751866371,-0.5608154296875,1.9049560546875,-2.4457714843750002,-0.34397918617978573,-0.14891618308715207
7.7,0.00045000000000000004,25.5,9.663649774512114,9.000000000000001e-07,82677.89251527032,-0.522216796875,1.748291015625,-2.2505078125,-0.4728214427188869,-0.1962196137764735
7.7,0.00035,25.5,7.516172046842755,9.000000000000001e-07,64305.027511876906,-0.2792724609375,1.039892578125,-1.2991650390625,-0.45120084344734473,-0.17735950094921113
7.7,0.00025,25.5,5.368694319173397,9.000000000000001e-07,45932.16250848351,-0.17255859375,0.4245849609375,-0.5771435546875,-0.3928669534950711,-0.14326848658203767
7.7,0.00015,25.5,3.2212165915040374,9.000000000000001e-07,27559.2975050901,-0.1271484375,0.15439453125,-0.26154296875,-0.4945408801402248,-0.16002404656485508
